breed,other_names,size,life_span,height,height_sec,price,adaptability,apartment_friendly,barking_tendencies,child_friendly,cat_friendly,dog_friendly,exercise_needs,grooming,health_issues,intelligence,playfulness,shedding_level,stranger_friendly,trainability
"Cardigan Welsh Corgi","Cardigan, CWC, Cardi","Medium","12-15 years","Male: 10-13 inches (25-33 cm)","Female: 10-13 inches (25-33 cm)","Average $1000 - $1200 USD","5 stars","5 stars","3 stars","5 stars","5 stars","3 stars","4 stars","3 stars","2 stars","5 stars","4 stars","4 stars","3 stars","5 stars"
"Cairn Terrier","Cairn, Toto Dog","Small","12-15 years","Male: 10-13 inches (25-33 cm)","Female: 9-12 inches (23-30 cm)","Average $700 - $1000 USD","3 stars","3 stars","5 stars","4 stars","3 stars","3 stars","4 stars","3 stars","2 stars","4 stars","4 stars","3 stars","3 stars","3 stars"
"Lhasa Apso","Lhasa, Lion Dog","Small","12-15 years","10-11 inches (25-28 cm)","","Average $500 - $700 USD","5 stars","5 stars","5 stars","5 stars","5 stars","5 stars","2 stars","5 stars","2 stars","3 stars","4 stars","4 stars","3 stars","3 stars"
"Italian Greyhound","French: Petit Levrier Italiane, Italian: Piccolo Levriero Italiano, German: Italienisches Windspiel, Spanish: Galgo Italiano","Small","12-15 years","12-15 inches (30-38 cm)","","Average $800 - $1000 USD","5 stars","3 stars","3 stars","1 stars","3 stars","3 stars","3 stars","1 stars","3 stars","3 stars","2 stars","1 stars","3 stars","3 stars"
"Irish Wolfhound","C? Faoil","Giant","6-10 years","28-35 inches (71-90 cm)","","Average $1800 - $2000 USD","4 stars","2 stars","2 stars","4 stars","3 stars","5 stars","3 stars","3 stars","5 stars","4 stars","3 stars","3 stars","3 stars","4 stars"
"Chow Chow","Chow, Chowdren","Medium","13-15 years","18-22 inches (46-56 cm)","","Average $600 - $800 USD","2 stars","3 stars","6 stars","2 stars","2 stars","1 stars","2 stars","5 stars","3 stars","3 stars","2 stars","4 stars","1 stars","2 stars"
"Old English Sheepdog","OES","Large","10-12 years","Male: 22-24 inches (56-61 cm)","Female: 20-22 inches (51 cm)","Average $1200 - $1500 USD","3 stars","2 stars","4 stars","5 stars","3 stars","3 stars","3 stars","5 stars","3 stars","3 stars","3 stars","5 stars","2 stars","3 stars"
"Irish Setter","Red Setter, Irish Red Setter","Large","12-14 years","Male: 26-28 inches (66-71 cm)","Female: 24-26 inches (61-66 cm)","Average $800 - $1000 USD","5 stars","1 stars","1 stars","5 stars","5 stars","5 stars","5 stars","4 stars","3 stars","4 stars","5 stars","3 stars","5 stars","3 stars"
"Chinese Crested","Crested, Puff","Small","12-14 years","10-13 inches (25-33 cm)","","Average $800 - $1000 USD","3 stars","5 stars","2 stars","4 stars","4 stars","3 stars","2 stars","3 stars","3 stars","3 stars","3 stars","1 stars","4 stars","4 stars"
"Greater Swiss Mountain Dog","Great Swiss Mountain Dog, Swissy","Large","10-12 years","23.5-28.5 (60-72 cm)","","Average $2000 - $2500 USD","3 stars","3 stars","2 stars","4 stars","3 stars","4 stars","3 stars","1 stars","3 stars","2 stars","4 stars","1 stars","3 stars","4 stars"
"Giant Schnauzer","Russian Bear Schnauzer, Munich Schnauzer, Munchener, Riesenschnauzer","Large","10-12 years","Male: 26-28 inches (66-71 cm)","Female: 23-26 inches (58-66 cm)","Average $1000 - $1500 USD","3 stars","1 stars","3 stars","2 stars","2 stars","1 stars","5 stars","3 stars","4 stars","5 stars","5 stars","1 stars","2 stars","4 stars"
"Coton De Tulear","Coton, Cotie","Small","14-16 years","10-12 inches (25-30 cm)","","Average $1000 - $1200 USD","5 stars","5 stars","3 stars","4 stars","5 stars","4 stars","3 stars","5 stars","3 stars","3 stars","4 stars","2 stars","4 stars","5 stars"
