breed,other_names,size,life_span,height,height_sec,price,adaptability,apartment_friendly,barking_tendencies,child_friendly,cat_friendly,dog_friendly,exercise_needs,grooming,health_issues,intelligence,playfulness,shedding_level,stranger_friendly,trainability
"Cotonese","?","Small","13-15 years","8-12 inches (20-30 cm)","","Average $400 - $600 USD","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars"
"Taco Terrier","Toy Chitoxy, Toy Chisoxy, Toy Chiwoxy","Small","13-15 years","8-10 inches (20-30 cm)","","Average $300 - $400 USD","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars"
"Cairmal","Cairmal Terrier","Small","12-15 years","10-13 inches (25-33 cm)","","Average $400 - $600 USD","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars"
"King Shepherd","?","Large","10-13 years","25-29 inches (64-74 cm)","","Average $1500 - $2500 USD","3 stars","1 stars","2 stars","4 stars","2 stars","2 stars","4 stars","2 stars","2 stars","3 stars","3 stars","3 stars","2 stars","1 stars"
"Kyi-Leo","KYE-LEO","Small","12-15 years","8-12 inches (20-30 cm)","","Average $600 - $800 USD","4 stars","2 stars","2 stars","4 stars","4 stars","4 stars","3 stars","2 stars","2 stars","3 stars","4 stars","1 stars","2 stars","5 stars"
"Majestic Tree Hound","Majestic Treehound","Large","10-13 years","24-30 inches (61-76 cm)","","Average $600 - $800 USD","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars"
"Chorkie","Chia-Yorkie, Yorkie-Chi, Yorkiehuahua","Small","12-14 years","6-9 inches (15-23 cm)","","Average $300 - $400 USD","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars"
"Cockalier","Cockalier Spaniel","Medium","12-15 years","12-15 inches (30-38 cm)","","Average $500 - $700 USD","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars"
"Dorgi","Dorgie","Small","12-14 years","8-12 inches (20-30 cm)","","Average $200 - $300 USD","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars"
"Dorkie","Dorkie Terrier","Small","13-15 years","5-9 inches (13-23 cm)","","Average $400 - $600 USD","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars"
"Double Doodle","North American Retriever, Golden Labradoodle","Medium","12-15 years","20-24 inches (50-61 cm)","","Average $600 - $800 USD","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars","0 stars"
"Maremma Sheepdog","Cane da Pastore, Maremmano-Abruzzese, Pastore Abruzzese, Pastore Maremmano, Abruzzo Sheepdog, Abruzzese Sheepdog, Maremma, Maremmano","Large","11-13 years","24-29 inches (60-73 cm)","","Average $600 - $800 USD","3 stars","3 stars","2 stars","4 stars","4 stars","3 stars","3 stars","3 stars","3 stars","2 stars","3 stars","3 stars","3 stars","3 stars"
"Lucas Terrier","?","Small","14-15 years","Male: 10-12 inches (25-30 cm)","Female: 9-11 inches (23-28 cm)","Average $400 - $600 USD","5 stars","1 stars","3 stars","4 stars","3 stars","2 stars","3 stars","3 stars","3 stars","2 stars","3 stars","3 stars","3 stars","4 stars"
"Lurcher","?","Large","12-14 years","22-28 inches (55-71 cm)","","Average $600 - $800 USD","3 stars","1 stars","3 stars","4 stars","3 stars","2 stars","3 stars","3 stars","3 stars","2 stars","3 stars","3 stars","3 stars","3 stars"
"Mal-Shi","Malshi, Malti Zu, Malt-Tzu","Small","12-15 years","10-20 inces (25-51 cm)","","Average $800 - $1000 USD","3 stars","3 stars","3 stars","4 stars","3 stars","4 stars","3 stars","3 stars","3 stars","2 stars","3 stars","1 stars","3 stars","3 stars"
"Shichon","Zuchon, Teddy Bear","Small","12-15 years","19-21 inches (49-53 cm)","","Average $800 - $1200 USD","4 stars","3 stars","3 stars","4 stars","3 stars","3 stars","3 stars","1 stars","3 stars","2 stars","4 stars","1 stars","4 stars","3 stars"
"Slovensky Cuvac","Slovak Cuvac, Slovak Chuvach, Tatransky Cuvac, Slovak tschuvatsch","Large","11-13 years","66-99 pounds (30-45 kg)","","Average $800 - $1200 USD","3 stars","3 stars","2 stars","4 stars","3 stars","3 stars","3 stars","3 stars","3 stars","2 stars","3 stars","3 stars","4 stars","3 stars"
"Moscow Watchdog","Moskovskaya Storodzevay Sobaka","Large","9-11 years","25-27 inches (64-69 cm)","","Average $600 - $800 USD","3 stars","1 stars","3 stars","4 stars","3 stars","2 stars","3 stars","3 stars","3 stars","2 stars","3 stars","4 stars","3 stars","3 stars"
"Stabyhoun","Beike, Friese Stabij, Stabij, Staby, Stabijhoun","Medium","13-14 years","19-21 inches (49-53 cm)","","Average $600 - $800 USD","3 stars","3 stars","2 stars","4 stars","3 stars","3 stars","3 stars","1 stars","3 stars","2 stars","3 stars","4 stars","4 stars","3 stars"
"Mountain Cur","?","Medium","12-16 years","18-26 inches (46-66 cm)","","Average $300 - $500 USD","3 stars","1 stars","2 stars","4 stars","3 stars","2 stars","5 stars","1 stars","3 stars","2 stars","3 stars","1 stars","3 stars","5 stars"
"Polish Tatra Sheepdog","Owczarek Podhalanski, Tatra Mountain Sheepdog, Polski Owczarek","Large","10-12 years","Female: 24-26 inches (60-65 cm)","Male: 26-28 inches (65-70 cm)","Average $600 - $800 USD","3 stars","1 stars","2 stars","4 stars","3 stars","2 stars","3 stars","1 stars","3 stars","2 stars","3 stars","2 stars","2 stars","3 stars"
"Puggle","Beagle-Pug","Small","10-15 years","10-15 inches (25-38 cm)","","Average $600 - $800 USD","5 stars","5 stars","3 stars","4 stars","3 stars","3 stars","3 stars","3 stars","3 stars","2 stars","4 stars","5 stars","4 stars","2 stars"
"Russian Tsvetnaya Bolonka","Bolonka Zwetna, Franzuskaya Bolonka, Russian Lapdogs, Colored Lap Dog","Small","12-16 years","Male: 9-11 inches (22-37 cm)","Female: 7-9 inches (18-24 cm)","Average $1500 - $1800 USD","5 stars","5 stars","3 stars","4 stars","3 stars","3 stars","3 stars","5 stars","3 stars","2 stars","4 stars","1 stars","4 stars","3 stars"
